candidate_image_id,candidate_path,layer,relative_rms,mean_cosine_distance
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu3_1,0.0,-6.505213034913027e-19
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu4_2,0.0,-2.190088388420719e-17
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,relu5_1,0.0,-1.7889335846010823e-17
geometry-000-d3bb192d6f,outputs/transformations/geometry/geometry-000.png,aggregate,0.0,-1.3480247011236438e-17
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu3_1,0.4001201932746347,0.05939110870355134
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu4_2,0.5182405778937282,0.12048305140571411
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,relu5_1,0.4914366787857543,0.11141783326398488
geometry-025-60ce003390,outputs/transformations/geometry/geometry-025.png,aggregate,0.4699324833180391,0.09709733112441676
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu3_1,0.5904854775015771,0.1283082845417402
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu4_2,0.7655215693853729,0.25587849626866943
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,relu5_1,0.7029042608740367,0.2163889972860072
geometry-050-76769f29ab,outputs/transformations/geometry/geometry-050.png,aggregate,0.6863037692536622,0.20019192603213895
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu3_1,0.6964628452147229,0.1827643448773179
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu4_2,0.9233991839937108,0.36671685795072284
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,relu5_1,0.8668428053308547,0.31001718926303845
geometry-075-25f54286a0,outputs/transformations/geometry/geometry-075.png,aggregate,0.8289016115130962,0.2864994640303597
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu3_1,0.7592966150105346,0.21801997244900323
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu4_2,1.0145915588772645,0.4450167398843068
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,relu5_1,0.9827160073701735,0.39460117099006575
geometry-100-a19aaa76aa,outputs/transformations/geometry/geometry-100.png,aggregate,0.9188680604193241,0.35254596110779196
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu3_1,0.0,-6.505213034913027e-19
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu4_2,0.0,-2.190088388420719e-17
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,relu5_1,0.0,-1.7889335846010823e-17
style-baseline-000-d3bb192d6f,outputs/transformations/style/style-baseline-000.png,aggregate,0.0,-1.3480247011236438e-17
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu3_1,0.07825047480507694,0.0034003656616928835
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu4_2,0.0915921880434338,0.006879629319550013
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,relu5_1,0.10200872965317709,0.0075011336947337515
style-baseline-025-b09b9f6f4d,outputs/transformations/style/style-baseline-025.png,aggregate,0.09061713083389594,0.005927042891992217
style-baseline-050-cf0f55cb68,outputs/transformations/style/style-baseline-050.png,relu3_1,0.1438007192063864,0.00895021709599819
style-baseline-050-cf0f55cb68,outputs/transformations/style/style-baseline-050.png,relu4_2,0.15147118424787362,0.01435225977180638
style-baseline-050-cf0f55cb68,outputs/transformations/style/style-baseline-050.png,relu5_1,0.17089580879146885,0.016434952708452508
style-baseline-050-cf0f55cb68,outputs/transformations/style/style-baseline-050.png,aggregate,0.15538923741524294,0.013245809858752358
style-baseline-075-d6ba608a2a,outputs/transformations/style/style-baseline-075.png,relu3_1,0.2057323517260056,0.016321054971225324
style-baseline-075-d6ba608a2a,outputs/transformations/style/style-baseline-075.png,relu4_2,0.20582373439137464,0.024200332425338606
style-baseline-075-d6ba608a2a,outputs/transformations/style/style-baseline-075.png,relu5_1,0.23186191965339367,0.028204353366057453
style-baseline-075-d6ba608a2a,outputs/transformations/style/style-baseline-075.png,aggregate,0.21447266859025796,0.022908580254207125
style-baseline-100-65957c81fc,outputs/transformations/style/style-baseline-100.png,relu3_1,0.2647521896822064,0.024591899944330635
style-baseline-100-65957c81fc,outputs/transformations/style/style-baseline-100.png,relu4_2,0.25579770850866296,0.03456577356670587
style-baseline-100-65957c81fc,outputs/transformations/style/style-baseline-100.png,relu5_1,0.2872125396351644,0.04087695909387885
style-baseline-100-65957c81fc,outputs/transformations/style/style-baseline-100.png,aggregate,0.26925414594201125,0.033344877534971784
topology-original-d3bb192d6f,outputs/transformations/topology/topology-original.png,relu3_1,0.0,-6.505213034913027e-19
