step,style_strength,content_loss,style_loss,tv_loss,weighted_content_loss,weighted_style_loss,weighted_tv_loss,total_loss
0,0.5,1.7270420789718628,9.35553998715477e-06,0.059862662106752396,1.7270420789718628,4.677770137786865,5.986265932733659e-06,6.404818534851074
1,0.5,3.3786423206329346,1.0506249964237213e-05,0.069476418197155,3.3786423206329346,5.253125190734863,6.947641850274522e-06,8.631773948669434
2,0.5,2.8573923110961914,1.2223844350955915e-05,0.07796124368906021,2.8573923110961914,6.111922264099121,7.796124009473715e-06,8.969322204589844
3,0.5,3.0608108043670654,9.04655007616384e-06,0.08393391966819763,3.0608108043670654,4.523274898529053,8.393391908612102e-06,7.584094047546387
4,0.5,2.106471300125122,9.92438890534686e-06,0.08817417919635773,2.106471300125122,4.962194442749023,8.817417437967379e-06,7.068674087524414
5,0.5,1.9236408472061157,8.877708751242608e-06,0.09108471125364304,1.9236408472061157,4.438854217529297,9.108471203944646e-06,6.362504005432129
6,0.5,1.795613169670105,7.96130916569382e-06,0.09313782304525375,1.795613169670105,3.98065447807312,9.31378235691227e-06,5.7762770652771
7,0.5,1.6159659624099731,7.4525860327412374e-06,0.09457318484783173,1.6159659624099731,3.7262930870056152,9.457317901251372e-06,5.342268466949463
8,0.5,1.4735397100448608,7.002875008765841e-06,0.0955372005701065,1.4735397100448608,3.5014374256134033,9.553719792165793e-06,4.974986553192139
9,0.5,1.379500150680542,6.488196049758699e-06,0.09615263342857361,1.379500150680542,3.244097948074341,9.615263479645364e-06,4.623607635498047
10,0.5,1.2968733310699463,6.011035111441743e-06,0.09651952981948853,1.2968733310699463,3.0055174827575684,9.651952495914884e-06,4.302400588989258
11,0.5,1.2074928283691406,5.61854994884925e-06,0.09671104699373245,1.2074928283691406,2.809274911880493,9.671104635344818e-06,4.016777038574219
12,0.5,1.1259554624557495,5.278344360704068e-06,0.0967700183391571,1.1259554624557495,2.639172077178955,9.677001798991114e-06,3.7651374340057373
13,0.5,1.0608763694763184,4.9570880946703255e-06,0.09672681987285614,1.0608763694763184,2.478543996810913,9.672681699157692e-06,3.5394301414489746
14,0.5,1.0067718029022217,4.663796971726697e-06,0.09660860896110535,1.0067718029022217,2.3318984508514404,9.66086099651875e-06,3.3386800289154053
15,0.5,0.9541467428207397,4.409745997691061e-06,0.09643419086933136,0.9541467428207397,2.2048730850219727,9.643418707128149e-06,3.159029483795166
16,0.5,0.905823290348053,4.18349100073101e-06,0.09622089564800262,0.905823290348053,2.091745615005493,9.62208923738217e-06,2.9975783824920654
17,0.5,0.8621417284011841,3.980697783845244e-06,0.09598329663276672,0.8621417284011841,1.9903489351272583,9.598329597793054e-06,2.8525002002716064
18,0.5,0.8218902349472046,3.799542582783033e-06,0.09572872519493103,0.8218902349472046,1.8997713327407837,9.572871931595728e-06,2.7216711044311523
19,0.5,0.7861635684967041,3.631415211202693e-06,0.09546461701393127,0.7861635684967041,1.8157075643539429,9.546461114950944e-06,2.6018805503845215
20,0.5,0.7560185790061951,3.4745455650408985e-06,0.09519751369953156,0.7560185790061951,1.7372727394104004,9.519751074549276e-06,2.4933009147644043
21,0.5,0.7243908643722534,3.338526539664599e-06,0.09493254870176315,0.7243908643722534,1.669263243675232,9.493254765402526e-06,2.3936636447906494
22,0.5,0.6976310014724731,3.2062337140814634e-06,0.09467202425003052,0.6976310014724731,1.6031168699264526,9.46720228967024e-06,2.30075740814209
23,0.5,0.6743581295013428,3.082321200054139e-06,0.09441833198070526,0.6743581295013428,1.5411605834960938,9.441832844458986e-06,2.2155282497406006
24,0.5,0.6500335931777954,2.9710822673223447e-06,0.09417504072189331,0.6500335931777954,1.4855411052703857,9.41750386118656e-06,2.1355841159820557
25,0.5,0.6283199191093445,2.8670719984802417e-06,0.09393968433141708,0.6283199191093445,1.4335360527038574,9.39396795729408e-06,2.0618653297424316
26,0.5,0.6107980608940125,2.7661528747557895e-06,0.09371025860309601,0.6107980608940125,1.3830764293670654,9.371025953441858e-06,1.9938839673995972
27,0.5,0.5923134088516235,2.676996473383042e-06,0.0934889018535614,0.5923134088516235,1.3384982347488403,9.348889761895407e-06,1.9308209419250488
28,0.5,0.577206015586853,2.5871681827993598e-06,0.0932752937078476,0.577206015586853,1.2935841083526611,9.327529369329568e-06,1.8707994222640991
29,0.5,0.5633234977722168,2.506155396986287e-06,0.09306834638118744,0.5633234977722168,1.253077745437622,9.306834726885427e-06,1.8164105415344238
30,0.5,0.5504319667816162,2.426319724690984e-06,0.0928707867860794,0.5504319667816162,1.2131599187850952,9.287078682973515e-06,1.7636011838912964
31,0.5,0.5365579128265381,2.361062342970399e-06,0.09268375486135483,0.5365579128265381,1.1805311441421509,9.268374924431555e-06,1.717098355293274
32,0.5,0.5320654511451721,2.2846552383271046e-06,0.09250546246767044,0.5320654511451721,1.1423276662826538,9.2505460997927e-06,1.6744024753570557
33,0.5,0.5192922353744507,2.2303361220110673e-06,0.09233454614877701,0.5192922353744507,1.1151680946350098,9.233453965862282e-06,1.6344695091247559
34,0.5,0.5127283930778503,2.1637788449879736e-06,0.09217026829719543,0.5127283930778503,1.0818893909454346,9.217026672558859e-06,1.594627022743225
35,0.5,0.4977101981639862,2.1164000827411655e-06,0.0920112282037735,0.4977101981639862,1.0582000017166138,9.201122338708956e-06,1.5559194087982178
36,0.5,0.4937607944011688,2.057087840512395e-06,0.09185929596424103,0.4937607944011688,1.0285439491271973,9.185929229715839e-06,1.5223139524459839
37,0.5,0.47984760999679565,2.0187862901366316e-06,0.09171204268932343,0.47984760999679565,1.0093930959701538,9.171203600999434e-06,1.4892498254776
38,0.5,0.4825316071510315,1.955493871719227e-06,0.09156875312328339,0.4825316071510315,0.9777469635009766,9.156875421467703e-06,1.4602876901626587
39,0.5,0.46710091829299927,1.9317540136398748e-06,0.09142924845218658,0.46710091829299927,0.9658769965171814,9.142924682237208e-06,1.432987093925476
40,0.5,0.4765792787075043,1.8688493810259388e-06,0.0912957489490509,0.4765792787075043,0.9344246983528137,9.129575119004585e-06,1.411013126373291
41,0.5,0.4603138864040375,1.857542883954011e-06,0.09116658568382263,0.4603138864040375,0.928771436214447,9.116658475250006e-06,1.389094352722168
42,0.5,0.4701401889324188,1.8019693470705533e-06,0.09104180335998535,0.4701401889324188,0.9009846448898315,9.104180207941681e-06,1.3711339235305786
43,0.5,0.4575185775756836,1.7806299865696928e-06,0.09092126786708832,0.4575185775756836,0.8903149962425232,9.092126674659085e-06,1.3478426933288574
44,0.5,0.4616054594516754,1.7580950952833518e-06,0.09081537276506424,0.4616054594516754,0.8790475726127625,9.081537427846342e-06,1.3406621217727661
45,0.5,0.46654051542282104,1.7159975413960638e-06,0.09070546925067902,0.46654051542282104,0.857998788356781,9.070547093870118e-06,1.324548363685608
46,0.5,0.4613506495952606,1.7071255342671066e-06,0.09061330556869507,0.4613506495952606,0.8535627722740173,9.061330274562351e-06,1.3149224519729614
